sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2023-03-23_23:28:45_563 GMT+8
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
240,366701760,0.646832,-0.370488,-0.574961,-0.337293,0.000161,0.003126,0.001541
241,366718427,0.646818,-0.370498,-0.574961,-0.337309,0.008521,-0.003950,0.009264
242,366735094,0.646819,-0.370506,-0.574960,-0.337300,0.000801,-0.002371,0.003416
243,366751761,0.646816,-0.370511,-0.574953,-0.337313,0.001480,0.011277,0.013812
244,366768428,0.646824,-0.370508,-0.574952,-0.337302,0.010604,0.003917,0.027893
245,366785095,0.646827,-0.370498,-0.574950,-0.337311,-0.019342,0.012187,0.025159
246,366801762,0.646826,-0.370505,-0.574948,-0.337308,0.011159,0.000883,0.007151
247,366818429,0.646821,-0.370503,-0.574956,-0.337306,-0.003014,-0.003089,0.003899
248,366835096,0.646828,-0.370505,-0.574952,-0.337298,0.015082,0.009037,0.031968
249,366851763,0.646827,-0.370511,-0.574944,-0.337307,0.001879,0.007514,0.018725
250,366868430,0.646823,-0.370517,-0.574940,-0.337313,-0.010985,0.017270,0.005876
251,366885097,0.646823,-0.370519,-0.574940,-0.337312,0.006430,-0.005147,0.010337
252,366901764,0.646811,-0.370522,-0.574951,-0.337314,-0.000831,-0.010535,0.010899
253,366918431,0.646806,-0.370530,-0.574940,-0.337334,0.000299,0.001492,0.020844
254,366935098,0.646805,-0.370536,-0.574931,-0.337343,-0.007577,-0.006779,0.004669
255,366951765,0.646805,-0.370540,-0.574926,-0.337348,0.014049,0.005060,0.017814
256,366968432,0.646803,-0.370540,-0.574923,-0.337358,-0.006926,0.001057,0.013880
257,366985099,0.646803,-0.370546,-0.574918,-0.337359,0.001912,-0.002266,0.004614
258,367001766,0.646796,-0.370563,-0.574905,-0.337374,-0.001997,-0.000130,0.017876
259,367018433,0.646796,-0.370556,-0.574904,-0.337384,-0.008895,0.008617,0.009241
260,367035100,0.646793,-0.370567,-0.574901,-0.337385,-0.001673,0.001337,0.014368
261,367051767,0.646784,-0.370582,-0.574894,-0.337397,0.003428,-0.010488,0.016980
262,367068434,0.646781,-0.370583,-0.574903,-0.337386,0.002283,0.003764,0.010559
263,367085101,0.646787,-0.370574,-0.574910,-0.337373,-0.009110,-0.009742,0.020937
264,367101768,0.646781,-0.370581,-0.574913,-0.337372,-0.022617,0.018219,0.012273
265,367118435,0.646781,-0.370594,-0.574902,-0.337376,-0.016160,-0.001712,0.013473
266,367135102,0.646777,-0.370593,-0.574907,-0.337374,-0.005347,0.014783,0.013656
267,367151769,0.646773,-0.370605,-0.574903,-0.337376,-0.001537,0.003188,0.012453
268,367168436,0.646775,-0.370602,-0.574907,-0.337369,0.003556,0.007127,0.014216
269,367185103,0.646781,-0.370592,-0.574907,-0.337367,0.004186,-0.014615,0.013039
270,367201770,0.646778,-0.370594,-0.574910,-0.337367,-0.006659,0.003696,0.011707
271,367218437,0.646778,-0.370591,-0.574915,-0.337362,-0.010624,0.024368,0.001411
272,367235104,0.646783,-0.370581,-0.574911,-0.337370,-0.012700,-0.007040,0.014291
273,367251771,0.646783,-0.370579,-0.574922,-0.337355,-0.008777,0.007643,0.021643
274,367268438,0.646782,-0.370576,-0.574924,-0.337358,-0.009666,0.003324,0.026913
275,367285105,0.646779,-0.370580,-0.574931,-0.337345,-0.014257,-0.004435,0.020898
276,367301772,0.646781,-0.370583,-0.574923,-0.337350,-0.012894,0.000941,0.017322
277,367318439,0.646774,-0.370590,-0.574925,-0.337353,-0.010958,0.016912,0.007556
278,367335106,0.646777,-0.370582,-0.574926,-0.337355,0.000922,0.021238,0.018106
279,367351773,0.646775,-0.370579,-0.574927,-0.337361,-0.004828,0.010096,0.019124
280,367368440,0.646777,-0.370582,-0.574925,-0.337357,-0.008148,0.011555,0.025397
